广东频道[A],#genre#
广东珠江[A],http://113.68.255.214:8090/udp/239.77.0.1:5146
广东体育[A],http://113.68.255.214:8090/udp/239.77.0.112:5146
广东新闻[A],http://113.68.255.214:8090/udp/239.77.0.173:5146
大湾区卫视[A],http://113.68.255.214:8090/udp/239.77.0.215:5146
广东影视[A],http://113.68.255.214:8090/udp/239.77.0.217:5146
广东民生[A],http://113.68.255.214:8090/udp/239.77.0.225:5146
广东少儿[A],http://113.68.255.214:8090/udp/239.77.0.250:5146
广东卫视[A],http://113.68.255.214:8090/udp/239.77.1.19:5146
广州综合[A],http://113.68.255.214:8090/udp/239.253.43.71:5146
广州新闻[A],http://113.68.255.214:8090/udp/239.253.43.72:5146
广州影视[A],http://113.68.255.214:8090/udp/239.253.43.73:5146

广东频道[E],#genre#
广东珠江[E],http://113.71.148.79:5555/udp/239.77.0.1:5146
广东体育[E],http://113.71.148.79:5555/udp/239.77.0.112:5146
广东新闻[E],http://113.71.148.79:5555/udp/239.77.0.173:5146
大湾区卫视[E],http://113.71.148.79:5555/udp/239.77.0.215:5146
广东影视[E],http://113.71.148.79:5555/udp/239.77.0.217:5146
广东民生[E],http://113.71.148.79:5555/udp/239.77.0.225:5146
广东少儿[E],http://113.71.148.79:5555/udp/239.77.0.250:5146
广东卫视[E],http://113.71.148.79:5555/udp/239.77.1.19:5146
广州综合[E],http://113.71.148.79:5555/udp/239.253.43.71:5146
广州新闻[E],http://113.71.148.79:5555/udp/239.253.43.72:5146
广州影视[E],http://113.71.148.79:5555/udp/239.253.43.73:5146

广东频道[J],#genre#
广东珠江[J],http://113.103.253.43:10000/udp/239.77.0.1:5146
广东体育[J],http://113.103.253.43:10000/udp/239.77.0.112:5146
广东新闻[J],http://113.103.253.43:10000/udp/239.77.0.173:5146
大湾区卫视[J],http://113.103.253.43:10000/udp/239.77.0.215:5146
广东影视[J],http://113.103.253.43:10000/udp/239.77.0.217:5146
广东民生[J],http://113.103.253.43:10000/udp/239.77.0.225:5146
广东少儿[J],http://113.103.253.43:10000/udp/239.77.0.250:5146
广东卫视[J],http://113.103.253.43:10000/udp/239.77.1.19:5146
广州综合[J],http://113.103.253.43:10000/udp/239.253.43.71:5146
广州新闻[J],http://113.103.253.43:10000/udp/239.253.43.72:5146
广州影视[J],http://113.103.253.43:10000/udp/239.253.43.73:5146

广东频道[M失效],#genre#
广东珠江[M],http://88.88.88.88:8888/udp/239.77.0.1:5146
广东体育[M],http://88.88.88.88:8888/udp/239.77.0.112:5146
广东新闻[M],http://88.88.88.88:8888/udp/239.77.0.173:5146
大湾区卫视[M],http://88.88.88.88:8888/udp/239.77.0.215:5146
广东影视[M],http://88.88.88.88:8888/udp/239.77.0.217:5146
广东民生[M],http://88.88.88.88:8888/udp/239.77.0.225:5146
广东少儿[M],http://88.88.88.88:8888/udp/239.77.0.250:5146
广东卫视[M],http://88.88.88.88:8888/udp/239.77.1.19:5146
广州综合[M],http://88.88.88.88:8888/udp/239.253.43.71:5146
广州新闻[M],http://88.88.88.88:8888/udp/239.253.43.72:5146
广州影视[M],http://88.88.88.88:8888/udp/239.253.43.73:5146

[04/30 16:16]Updated.,#genre#
Auto-update,http://

