[酒店]广东频道,#genre#
广东珠江,http://120.238.85.131:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
广东体育,http://120.238.85.131:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
大湾区卫视,http://120.238.85.131:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
广东影视,http://120.238.85.131:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://120.238.85.131:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
广东民生,http://120.238.85.131:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
广东少儿,http://120.238.85.131:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
嘉佳卡通,http://120.238.85.131:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://120.238.85.131:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://120.196.171.138:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1
广东珠江,http://120.196.171.138:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1
广东体育,http://120.196.171.138:9901/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&down=1
广东民生,http://120.196.171.138:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://120.196.171.138:9901/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&down=1
大湾区卫视,http://120.196.171.138:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&down=1
广东影视,http://120.196.171.138:9901/tsfile/live/1038_1.m3u8?key=txiptv&playlive=1&down=1
嘉佳卡通,http://120.196.171.138:9901/tsfile/live/1098_1.m3u8?key=txiptv&playlive=1&down=1
广东少儿,http://120.196.171.138:9901/tsfile/live/1097_1.m3u8?key=txiptv&playlive=1&down=1

[酒店]港澳频道,#genre#
翡翠台,http://120.196.171.138:9901/tsfile/live/1076_1.m3u8?key=txiptv&playlive=1&down=1
TVB星河,http://120.196.171.138:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
明珠台,http://120.196.171.138:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
澳亚卫视,http://120.196.171.138:9901/tsfile/live/1102_1.m3u8?key=txiptv&playlive=1&down=1
澳视澳门,http://120.196.171.138:9901/tsfile/live/1106_1.m3u8?key=txiptv&playlive=1&down=1
TVBPlus,https://ha.jmied.com/aa/aa.flv?auth_key=1661958232-0-0-3d9174957759709f8b53448167c0b6f6
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
凤凰中文,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰香港,http://43.141.130.51/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv

[酒店]央视频道,#genre#
CHC家庭影院,http://120.196.171.138:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
CHC动作电影,http://120.196.171.138:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
CHC影迷电影,http://120.196.171.138:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://120.196.171.138:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://120.196.171.138:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://120.196.171.138:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://120.196.171.138:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://120.196.171.138:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://120.196.171.138:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://120.196.171.138:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7,http://120.196.171.138:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8,http://120.196.171.138:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV9,http://120.196.171.138:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10,http://120.196.171.138:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11,http://120.196.171.138:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12,http://120.196.171.138:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13,http://120.196.171.138:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14,http://120.196.171.138:9901/tsfile/live/1096_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15,http://120.196.171.138:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1
CCTV17,http://120.196.171.138:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1
世界地理,http://120.196.171.138:9901/tsfile/live/1068_1.m3u8?key=txiptv&playlive=1&down=1
第一剧场,http://120.196.171.138:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&down=1
风云足球,http://120.196.171.138:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&down=1
央视台球,http://120.196.171.138:9901/tsfile/live/1072_1.m3u8?key=txiptv&playlive=1&down=1
风云剧场,http://120.196.171.138:9901/tsfile/live/1070_1.m3u8?key=txiptv&playlive=1&down=1

[酒店]卫视频道,#genre#
浙江卫视,http://120.196.171.138:9901/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://120.196.171.138:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://120.196.171.138:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://120.196.171.138:9901/tsfile/live/1045_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://120.196.171.138:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&down=1
金鹰卡通,http://120.196.171.138:9901/tsfile/live/1099_1.m3u8?key=txiptv&playlive=1&down=1
金鹰纪实,http://120.196.171.138:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&down=1
西藏卫视,http://120.196.171.138:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://120.196.171.138:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&down=1
青海卫视,http://120.196.171.138:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://120.196.171.138:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&down=1
四川卫视,http://120.196.171.138:9901/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://120.196.171.138:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&down=1
厦门卫视,http://120.196.171.138:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://120.196.171.138:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://120.196.171.138:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://120.196.171.138:9901/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://120.196.171.138:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://120.196.171.138:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://120.196.171.138:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://120.196.171.138:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&down=1
河北卫视,http://120.196.171.138:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://120.196.171.138:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&down=1
东南卫视,http://120.196.171.138:9901/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&down=1
山西卫视,http://120.196.171.138:9901/tsfile/live/1087_1.m3u8?key=txiptv&playlive=1&down=1
陕西卫视,http://120.196.171.138:9901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=1&down=1
海南卫视,http://120.196.171.138:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://120.196.171.138:9901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://120.196.171.138:9901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=1&down=1
宁夏卫视,http://120.196.171.138:9901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&down=1
甘肃卫视,http://120.196.171.138:9901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=1&down=1
内蒙古卫视,http://120.196.171.138:9901/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&down=1
新疆卫视,http://120.196.171.138:9901/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&down=1
三沙卫视,http://120.196.171.138:9901/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1


[台湾]新闻频道,#genre#

TVBS HD,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv073
TVBS新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv072
中天新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv009
中天亚洲台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv109
台视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv051
华视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv052
台视财经,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv056
中视新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv074
非凡新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv010
镜新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv075
东森新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv152
东森财经新闻,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv153
半岛新闻,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv10
民视新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv13
民视台湾台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv001
寰宇新闻台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn14
寰宇新闻台湾台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn15
台视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv066
民视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv002
民视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv155
中视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv040
华视,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv041
民视台湾台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv156

[台湾]影视频道,#genre#
影迷數位電影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv011
AMC电影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv017
CATCHPLAY电影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv076
靖天电影台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv061
龙华电影,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn03
采昌影剧,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv049
民视影剧,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv09
龙华经典,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn21
中视经典,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv080
台湾戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn22
靖洋戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv045
靖天戏剧台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv058
公视戏剧,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv042
龙华戏剧,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn18

[台湾]体育频道,#genre#
智林体育台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv101
时尚运动X,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv014
靖天育乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv062
博斯魅力,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn04
博斯高球1,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn05
博斯高球2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn06
博斯运动1,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn07
博斯运动2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn08
博斯网球,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn09
博斯无限,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn10
博斯无限2,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn13
TRACE SPORTS STARS,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv077

[台湾]综艺频道,#genre#
視納華仁紀實頻道,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv013
中视菁采,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv064
八大精彩台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv034
八大综艺台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv039
TVBS精采台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv067
TVBS欢乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv068
靖天欢乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv054
靖天综合台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv046
靖天资讯台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv065
靖天卡通台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv044
靖天日本台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv047
靖洋卡通台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv057
靖天国际台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv063
靖天映画,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv055
爱尔达娱乐,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv070
龙华卡通,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn01
龙华日韩,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn11
龙华偶像,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn12
民视综艺,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv004
民视第一台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv003
民视旅游,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv07
亚洲旅游台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn17
客家电视台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv043
爱放动漫,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv15
古典音乐台,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv059
猪哥亮歌厅秀,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv006


[台湾]其他频道,#genre#
Smart知识台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn19
达文西频道,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv018
阿里郎,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv079
生活英语台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-longturn20
国际财经,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv104
美国之音,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv03
好消息,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv16
好消息2台,http://debian.52sw.top:678/play/mt/litv.php?id=litv-ftv17
非凡商业,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv048
国会频道1,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv084
国会频道2,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv085
TRACE URBAN,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv082
MEZZO LIVE,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv083
GLOBETROTTER,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv016
GinxTV,http://debian.52sw.top:678/play/mt/litv.php?id=4gtv-4gtv053



