TVB频道,#genre#
翡翠台,https://live.hkdvb.com/hls/live/81.m3u8?token=574935376517038
J2台,https://live.hkdvb.com/hls/live/82.m3u8?token=574935376517038
无线新聞台,https://live.hkdvb.com/hls/live/83.m3u8?token=574935376517038
翡翠台,http://113.119.39.121:808/hls/105/index.m3u8
翡翠台,http://113.109.15.208:808/hls/105/index.m3u8
翡翠台,http://61.140.112.28:808/hls/105/index.m3u8

广东频道,#genre#
广东移动,http://183.11.239.36:808/hls/14/index.m3u8
经济科教,http://183.11.239.36:808/hls/4/index.m3u8
广东综艺,http://183.11.239.36:808/hls/9/index.m3u8
深圳卫视,http://183.11.239.36:808/hls/45/index.m3u8
深圳都市,http://183.11.239.36:808/hls/140/index.m3u8
深圳电视剧频道,http://183.11.239.36:808/hls/141/index.m3u8
广东卫视,http://14.112.83.40:2222/udp/239.77.1.19:5146
广东卫视,http://14.112.83.40:2222/udp/239.77.1.152:5146
广东卫视,http://14.112.83.40:2222/udp/239.77.0.84:5146
广东卫视,http://14.112.83.40:2222/udp/239.77.0.166:5146
广东珠江,http://14.112.83.40:2222/udp/239.77.0.1:5146
广东珠江,http://14.112.83.40:2222/udp/239.77.0.114:5146
广东新闻,http://14.112.83.40:2222/udp/239.77.0.173:5146
广东民生,http://14.112.83.40:2222/udp/239.77.0.225:5146
广东体育,http://14.112.83.40:2222/udp/239.77.0.112:5146
广东体育,http://14.112.83.40:2222/udp/239.77.0.168:5146
经济科教,http://14.112.83.40:2222/udp/239.77.0.85:5146
经济科教,http://14.112.83.40:2222/udp/239.77.0.167:5146
大湾区卫视,http://14.112.83.40:2222/udp/239.77.0.215:5146
广东影视,http://14.112.83.40:2222/udp/239.77.0.217:5146
广东少儿,http://14.112.83.40:2222/udp/239.77.0.250:5146
广东卫视,http://14.112.83.40:2222/udp/239.77.0.2:5146
广东卫视,http://14.112.83.40:2222/udp/239.77.1.2:5146
广东珠江,http://14.112.83.40:2222/udp/239.77.0.3:5146
广东珠江,http://14.112.83.40:2222/udp/239.77.1.94:5146
广东新闻,http://14.112.83.40:2222/udp/239.77.0.4:5146
广东民生,http://14.112.83.40:2222/udp/239.77.0.5:5146
广东体育,http://14.112.83.40:2222/udp/239.77.0.6:5146
广东体育,http://14.112.83.40:2222/udp/239.77.1.97:5146
广东国际,http://14.112.83.40:2222/udp/239.77.0.7:5146
经济科教,http://14.112.83.40:2222/udp/239.77.0.8:5146
大湾区卫视,http://14.112.83.40:2222/udp/239.77.0.9:5146
大湾区卫视,http://14.112.83.40:2222/udp/239.77.1.12:5146
广东影视,http://14.112.83.40:2222/udp/239.77.0.11:5146
广东少儿,http://14.112.83.40:2222/udp/239.77.0.12:5146
南方购物,http://14.112.83.40:2222/udp/239.77.0.19:5146
南方购物,http://14.112.83.40:2222/udp/239.77.0.22:5146
广东房产,http://14.112.83.40:2222/udp/239.77.0.14:5146
广东移动,http://14.112.83.40:2222/udp/239.77.0.20:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.1.236:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.1.237:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.0.244:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.0.246:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.0.245:5146
广东综艺,http://14.112.83.40:2222/udp/239.77.0.252:5146
广州综合,http://14.112.83.40:2222/udp/239.253.43.66:5146
广州综合,http://14.112.83.40:2222/udp/239.253.43.71:5146
广州新闻,http://14.112.83.40:2222/udp/239.253.43.67:5146
广州新闻,http://14.112.83.40:2222/udp/239.253.43.72:5146
广州影视,http://14.112.83.40:2222/udp/239.253.43.68:5146
广州影视,http://14.112.83.40:2222/udp/239.253.43.73:5146
广州法治,http://14.112.83.40:2222/udp/239.253.43.69:5146
广州法治,http://14.112.83.40:2222/udp/239.253.43.74:5146
广州竞赛,http://14.112.83.40:2222/udp/239.253.43.70:5146
广州竞赛,http://14.112.83.40:2222/udp/239.253.43.75:5146
广视课堂小学一,http://14.112.83.40:2222/udp/239.253.43.76:5146
广视课堂小学二,http://14.112.83.40:2222/udp/239.253.43.77:5146
广视课堂小学三,http://14.112.83.40:2222/udp/239.253.43.78:5146
广视课堂小学四,http://14.112.83.40:2222/udp/239.253.43.79:5146
广视课堂小学五,http://14.112.83.40:2222/udp/239.253.43.80:5146
广视课堂小学六,http://14.112.83.40:2222/udp/239.253.43.81:5146
广视课堂初一,http://14.112.83.40:2222/udp/239.253.43.89:5146
广视课堂初二,http://14.112.83.40:2222/udp/239.253.43.90:5146
广视课堂初三,http://14.112.83.40:2222/udp/239.253.43.91:5146
广视课堂高一,http://14.112.83.40:2222/udp/239.253.43.92:5146
广视课堂高二,http://14.112.83.40:2222/udp/239.253.43.93:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.0.55:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.1.21:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.1.3:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.1.148:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.0.92:5146
深圳卫视,http://14.112.83.40:2222/udp/239.77.0.130:5146
深圳都市频道,http://14.112.83.40:2222/udp/239.77.1.34:5146
深圳都市频道,http://14.112.83.40:2222/udp/239.77.1.176:5146
深圳都市频道,http://14.112.83.40:2222/udp/239.77.1.124:5146
深圳电视剧频道,http://14.112.83.40:2222/udp/239.77.1.7:5146
深圳电视剧频道,http://14.112.83.40:2222/udp/239.77.1.177:5146
深圳电视剧频道,http://14.112.83.40:2222/udp/239.77.1.125:5146
深圳财经生活,http://14.112.83.40:2222/udp/239.77.1.22:5146
深圳财经生活,http://14.112.83.40:2222/udp/239.77.1.242:5146
深圳娱乐频道,http://14.112.83.40:2222/udp/239.77.1.36:5146
深圳娱乐频道,http://14.112.83.40:2222/udp/239.77.1.243:5146
深圳体育健康,http://14.112.83.40:2222/udp/239.77.1.8:5146
深圳体育健康,http://14.112.83.40:2222/udp/239.77.1.128:5146
深圳体育健康,http://14.112.83.40:2222/udp/239.77.1.140:5146
深圳少儿频道,http://14.112.83.40:2222/udp/239.77.1.38:5146
深圳少儿频道,http://14.112.83.40:2222/udp/239.77.1.244:5146
深圳公共频道,http://14.112.83.40:2222/udp/239.77.1.9:5146
深圳公共频道,http://14.112.83.40:2222/udp/239.77.1.178:5146
深圳公共频道,http://14.112.83.40:2222/udp/239.77.1.126:5146
深圳宝安频道,http://14.112.83.40:2222/udp/239.77.1.206:5146
深圳宝安频道,http://14.112.83.40:2222/udp/239.77.1.67:5146
深圳宝安第一课,http://14.112.83.40:2222/udp/239.77.1.225:5146
深圳龙岗频道,http://14.112.83.40:2222/udp/239.77.1.223:5146
深圳东部频道,http://14.112.83.40:2222/udp/239.77.1.224:5146
深圳众创TV,http://14.112.83.40:2222/udp/239.77.1.247:5146
深圳移动电视,http://14.112.83.40:2222/udp/239.77.1.175:5146
深圳宜和购物,http://14.112.83.40:2222/udp/239.77.1.39:5146
深圳宜和购物,http://14.112.83.40:2222/udp/239.77.1.87:5146
韶关新闻综合,http://14.112.83.40:2222/udp/239.77.0.116:5146
韶关新闻综合,http://14.112.83.40:2222/udp/239.77.0.117:5146
韶关绿色生活,http://14.112.83.40:2222/udp/239.77.0.118:5146
韶关绿色生活,http://14.112.83.40:2222/udp/239.77.0.119:5146
湛江新闻综合,http://14.112.83.40:2222/udp/239.77.0.120:5146
湛江新闻综合,http://14.112.83.40:2222/udp/239.77.0.141:5146
湛江公共,http://14.112.83.40:2222/udp/239.77.0.121:5146
湛江公共,http://14.112.83.40:2222/udp/239.77.0.140:5146
揭阳综合,http://14.112.83.40:2222/udp/239.77.0.157:5146
揭阳综合,http://14.112.83.40:2222/udp/239.77.0.229:5146
揭阳生活,http://14.112.83.40:2222/udp/239.77.0.158:5146
揭阳生活,http://14.112.83.40:2222/udp/239.77.0.251:5146
汕尾新闻综合,http://14.112.83.40:2222/udp/239.77.1.189:5146
汕尾新闻综合,http://14.112.83.40:2222/udp/239.77.0.25:5146
汕尾文化生活,http://14.112.83.40:2222/udp/239.77.1.190:5146
汕尾文化生活,http://14.112.83.40:2222/udp/239.77.0.187:5146
江门综合,http://14.112.83.40:2222/udp/239.77.0.195:5146
江门综合,http://14.112.83.40:2222/udp/239.77.0.201:5146
江门侨乡生活,http://14.112.83.40:2222/udp/239.77.0.196:5146
江门侨乡生活,http://14.112.83.40:2222/udp/239.77.0.202:5146
江门教育,http://14.112.83.40:2222/udp/239.77.0.197:5146
江门教育,http://14.112.83.40:2222/udp/239.77.0.203:5146
珠海1,http://14.112.83.40:2222/udp/239.77.1.230:5146
珠海1,http://14.112.83.40:2222/udp/239.77.0.155:5146
珠海2,http://14.112.83.40:2222/udp/239.77.1.231:5146
珠海2,http://14.112.83.40:2222/udp/239.77.0.154:5146
肇庆综合,http://14.112.83.40:2222/udp/239.253.43.3:5146
肇庆综合,http://14.112.83.40:2222/udp/239.253.43.1:5146
肇庆生活服务,http://14.112.83.40:2222/udp/239.253.43.4:5146
肇庆生活服务,http://14.112.83.40:2222/udp/239.253.43.2:5146
河源综合,http://14.112.83.40:2222/udp/239.253.43.215:5146
