广东频道,#genre#
广东卫视,http://59.32.97.22:9901/udp/239.3.3.1:10001
广东珠江,http://59.32.97.22:9901/udp/239.3.3.2:10001
广东民生,http://59.32.97.22:9901/udp/239.3.3.3:10001
广东新闻,http://59.32.97.22:9901/udp/239.3.3.4:10001
广东体育,http://59.32.97.22:9901/udp/239.3.3.5:10001
经济科教,http://59.32.97.22:9901/udp/239.3.3.7:10001
南方卫视,http://59.32.97.22:9901/udp/239.3.3.8:10001
梅州1台,http://59.32.97.22:9901/udp/239.3.3.105:10001
梅州2台,http://59.32.97.22:9901/udp/239.3.3.106:10001
广东影视,http://59.32.97.22:9901/udp/239.3.3.10:10001
深圳卫视,http://59.32.97.22:9901/udp/239.3.3.16:10001
广东移动,http://59.32.97.22:9901/udp/239.3.3.17:10001
南方购物,http://59.32.97.22:9901/udp/239.3.3.13:10001
2梅州1,http://59.32.97.22:9901/udp/239.4.4.1:10001
广东卫视高清,http://119.129.237.18:4022/udp/239.77.1.19:5146
广东卫视高清,http://113.88.86.16:8888/udp/239.77.1.19:5146
广东卫视高清节目,/udp/239.3.3.1:10001
广东卫视高清,http://113.66.125.12:8888/udp/239.77.1.19:5146
央视频道,#genre#
CCTV1,http://59.32.97.22:9901/udp/239.3.3.18:10001
CCTV2,http://59.32.97.22:9901/udp/239.3.3.19:10001
CCTV3,http://59.32.97.22:9901/udp/239.3.3.20:10001
CCTV4,http://59.32.97.22:9901/udp/239.3.3.21:10001
CCTV5,http://59.32.97.22:9901/udp/239.3.3.22:10001
CCTV6,http://59.32.97.22:9901/udp/239.3.3.24:10001
CCTV7,http://59.32.97.22:9901/udp/239.3.3.25:10001
CCTV8,http://59.32.97.22:9901/udp/239.3.3.26:10001
CCTV9,http://59.32.97.22:9901/udp/239.3.3.27:10001
CCTV10,http://59.32.97.22:9901/udp/239.3.3.28:10001
CCTV11,http://59.32.97.22:9901/udp/239.3.3.29:10001
CCTV12,http://59.32.97.22:9901/udp/239.3.3.30:10001
CCTV13,http://59.32.97.22:9901/udp/239.3.3.31:10001
CCTV14,http://59.32.97.22:9901/udp/239.3.3.32:10001
CCTV15,http://59.32.97.22:9901/udp/239.3.3.33:10001
CCTV17,http://59.32.97.22:9901/udp/239.3.3.34:10001
央视台球,http://59.32.97.22:9901/udp/239.3.3.117:10001
CCTV5+,http://59.32.97.22:9901/udp/239.3.3.23:10001
CCTV-1,http://14.155.234.217:8888/hls/1/index.m3u8
卫视频道,#genre#
广东卫视,http://59.32.97.22:9901/udp/239.3.3.1:10001
海南卫视,http://59.32.97.22:9901/udp/239.3.3.252:10001
南方卫视,http://59.32.97.22:9901/udp/239.3.3.8:10001
深圳卫视,http://59.32.97.22:9901/udp/239.3.3.16:10001
湖南卫视,http://59.32.97.22:9901/udp/239.3.3.35:10001
东方卫视,http://59.32.97.22:9901/udp/239.3.3.36:10001
北京卫视,http://59.32.97.22:9901/udp/239.3.3.37:10001
江苏卫视,http://59.32.97.22:9901/udp/239.3.3.38:10001
安徽卫视,http://59.32.97.22:9901/udp/239.3.3.39:10001
湖北卫视,http://59.32.97.22:9901/udp/239.3.3.40:10001
山东卫视,http://59.32.97.22:9901/udp/239.3.3.41:10001
黑龙江卫视,http://59.32.97.22:9901/udp/239.3.3.42:10001
天津卫视,http://59.32.97.22:9901/udp/239.3.3.43:10001
重庆卫视,http://59.32.97.22:9901/udp/239.3.3.44:10001
辽宁卫视,http://59.32.97.22:9901/udp/239.3.3.45:10001
四川卫视,http://59.32.97.22:9901/udp/239.3.3.47:10001
江西卫视,http://59.32.97.22:9901/udp/239.3.3.48:10001
贵州卫视,http://59.32.97.22:9901/udp/239.3.3.49:10001
山西卫视,http://59.32.97.22:9901/udp/239.3.3.59:10001
内蒙古卫视,http://59.32.97.22:9901/udp/239.3.3.60:10001
新疆卫视,http://59.32.97.22:9901/udp/239.3.3.61:10001
浙江卫视,http://59.32.97.22:9901/udp/239.3.3.55:10001
云南卫视,http://59.32.97.22:9901/udp/239.3.3.62:10001
陕西卫视,http://59.32.97.22:9901/udp/239.3.3.57:10001
西藏卫视,http://59.32.97.22:9901/udp/239.3.3.65:10001
吉林卫视,http://59.32.97.22:9901/udp/239.3.3.58:10001
河南卫视,http://59.32.97.22:9901/udp/239.3.3.66:10001
青海卫视,http://59.32.97.22:9901/udp/239.3.3.67:10001
宁夏卫视,http://59.32.97.22:9901/udp/239.3.3.68:10001
甘肃卫视,http://59.32.97.22:9901/udp/239.3.3.69:10001
广西卫视,http://59.32.97.22:9901/udp/239.3.3.64:10001
东南卫视,http://59.32.97.22:9901/udp/239.3.3.101:10001
兵团卫视,http://59.32.97.22:9901/udp/239.3.3.77:10001
延边卫视,http://59.32.97.22:9901/udp/239.3.3.90:10001
河北卫视,http://59.32.97.22:9901/udp/239.3.3.46:10001
澳亚卫视,http://59.32.97.22:9901/udp/239.3.3.80:10001
广东卫视高清,http://119.129.237.18:4022/udp/239.77.1.19:5146
广东卫视高清,http://113.88.86.16:8888/udp/239.77.1.19:5146
广东卫视高清节目,/udp/239.3.3.1:10001
广东卫视高清,http://113.66.125.12:8888/udp/239.77.1.19:5146
其他频道,#genre#
都市剧场,http://59.32.97.22:9901/udp/239.3.3.6:10001
测试山歌,http://59.32.97.22:9901/udp/239.3.3.100:10001
翡翠台,http://59.32.97.22:9901/udp/239.3.3.91:10001
凤凰中文,http://59.32.97.22:9901/udp/239.3.3.128:10001
明珠台,http://59.32.97.22:9901/udp/239.3.3.110:10001
五华1台,http://59.32.97.22:9901/udp/239.3.3.9:10001
嘉佳卡通,http://59.32.97.22:9901/udp/239.3.3.12:10001
卡酷少儿,http://59.32.97.22:9901/udp/239.3.3.70:10001
优漫卡通,http://59.32.97.22:9901/udp/239.3.3.75:10001
金鹰卡通,http://59.32.97.22:9901/udp/239.3.3.71:10001
炫动卡通,http://59.32.97.22:9901/udp/239.3.3.78:10001
IPTV少儿动画,http://59.32.97.22:9901/udp/239.3.3.92:10001
IPTV谍战剧场,http://59.32.97.22:9901/udp/239.3.3.83:10001
IPTV相声小品,http://59.32.97.22:9901/udp/239.3.3.84:10001
IPTV热播剧场,http://59.32.97.22:9901/udp/239.3.3.93:10001
IPTV野外高清,http://59.32.97.22:9901/udp/239.3.3.85:10001
IPTV法制,http://59.32.97.22:9901/udp/239.3.3.86:10001
IPTV魅力时尚,http://59.32.97.22:9901/udp/239.3.3.87:10001
IPTV3+,http://59.32.97.22:9901/udp/239.3.3.79:10001
IPTV5+,http://59.32.97.22:9901/udp/239.3.3.54:10001
IPTV6+,http://59.32.97.22:9901/udp/239.3.3.81:10001
IPTV8+,http://59.32.97.22:9901/udp/239.3.3.82:10001
IPTV经典电影,http://59.32.97.22:9901/udp/239.3.3.56:10001
cctv16,http://59.32.97.22:9901/udp/239.3.3.127:10001
梅县综合,http://59.32.97.22:9901/udp/239.3.3.111:10001
CHC高清电影,http://59.32.97.22:9901/udp/239.3.3.53:10001
中国教育1,http://59.32.97.22:9901/udp/239.3.3.72:10001
中国教育2,http://59.32.97.22:9901/udp/239.3.3.73:10001
金鹰纪实,http://59.32.97.22:9901/udp/239.3.3.52:10001
东奥纪实,http://59.32.97.22:9901/udp/239.3.3.50:10001
山东教育,http://59.32.97.22:9901/udp/239.3.3.89:10001
老故事,http://59.32.97.22:9901/udp/239.3.3.95:10001
动漫卡通,http://59.32.97.22:9901/udp/239.3.3.96:10001
上海纪实,http://59.32.97.22:9901/udp/239.3.3.51:10001
