广东频道,#genre#
TVB星河,http://119.125.104.87:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
广东体育,http://171.108.74.235:8181/tsfile/live/2007_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://119.125.104.87:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&down=1
广东公共,http://171.108.74.235:8181/tsfile/live/2109_1.m3u8?key=txiptv&playlive=1&authid=0
广东公共,http://119.125.104.87:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&down=1
广东南方购物,http://119.125.104.87:9901/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://171.108.74.235:8181/tsfile/live/2043_1.m3u8?key=txiptv&playlive=1&authid=0
广东少儿,http://171.108.74.235:8181/tsfile/live/2099_1.m3u8?key=txiptv&playlive=1&authid=0
广东影视,http://171.108.74.235:8181/tsfile/live/2003_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://119.125.104.87:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&down=1
广东新闻,http://171.108.74.235:8181/tsfile/live/2108_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://171.108.74.235:8181/tsfile/live/2002_1.m3u8?key=txiptv&playlive=1&authid=0
广东科教,http://171.108.74.235:8181/tsfile/live/2008_1.m3u8?key=txiptv&playlive=1&authid=0
[04/29 15:40]Updated.,#genre#
Auto-update,http:// 
